Picked,Team,Town,Code,Leage,Field,Rand,Done
0,"Mankato West, MN","Mankato West, MN",MAWE,MSHSL,N,0.7393322708,
0,"Maple Grove, MN","Maple Grove, MN",MAGR,MSHSL,Y,0.6880387015,
0,"Maple River, MN","Maple River, MN",MARI,MSHSL,N,0.7418743644,
0,"Marshall, MN","Marshall, MN",MARS,MSHSL,Y,0.2878397837,
0,"Medford, MN","Medford, MN",MEDF,MSHSL,N,0.701449569,
0,"Milaca-Faith Christian, MN","Milaca-Faith Christian, MN",MFC,MSHSL,Y,0.5980513662,
0,"Mille Lacs Raiders, MN","Mille Lacs Raiders, MN",MLR,MSHSL,Y,0.6687526268,
0,"Minneapolis North Community, MN","Minneapolis North Community, MN",MNC,MSHSL,N,0.6390001113,
0,"Minneapolis Patrick Henry, MN","Minneapolis Patrick Henry, MN",MPH,MSHSL,N,0.05232445261,
0,"Minneapolis Roosevelt, MN","Minneapolis Roosevelt, MN",MIRO,MSHSL,N,0.1029674949,
0,"Minneapolis South, MN","Minneapolis South, MN",MISO,MSHSL,Y,0.7955167119,
0,"Minneapolis Southwest, MN","Minneapolis Southwest, MN",MISO,MSHSL,N,0.1191354033,
0,"Minneapolis Washburn, MN","Minneapolis washburn, MN",MIWA,MSHSL,N,0.3364156593,
0,"Minnehaha-DeLaSalle, MN","Minnehaha-DeLaSalle, MN",MIDE,MSHSL,N,0.5931324938,
0,"Minneota, MN","Minneota, MN",MINN,MSHSL,Y,0.7743142992,
0,"Minnesota Test Team, MN","Minnesota Test Team, MN",MTT,MSHSL,Y,0.2089068591,
0,"Minnetonka, MN","Minnetonka, MN",MINN,MSHSL,Y,0.2563312217,
0,"Minnewaska Area, MN","Minnewaska Area, MN",MIAR,MSHSL,Y,0.8295963248,
0,"Moorhead, MN","Moorhead, MN",MOOR,MSHSL,N,0.004004127156,
0,"Mound-Westonka, MN","Mound-Westonka, MN",MOWE,MSHSL,Y,0.3216458588,
0,"Mounds View, MN","Mounds View, MN",MOVI,MSHSL,Y,0.8385411838,
0,"Nash-Kee- Greenway, MN","Nash-Kee- Greenway, MN",NKG,MSHSL,N,0.8658683645,
0,"New Century Academy, MN","New Century Academy, MN",NCA,MSHSL,Y,0.2994750169,
0,"New London-Spicer, MN","New London-Spicer, MN",NLS,MSHSL,Y,0.5465270517,
0,"New Prague, MN","New Prague, MN",NEPR,MSHSL,Y,0.4570790497,
0,"New Richland-H-E-G, MN","New Richland-H-E-G, MN",NRHE,MSHSL,Y,0.04274810234,
0,"New Ulm Area, MN","New Ulm Area, MN",NUA,MSHSL,Y,0.09664140331,
0,"New York Mills, MN","New York Mills, MN",NYM,MSHSL,N,0.8596209519,
0,"North, MN","North, MN",NORT,MSHSL,N,0.4066946374,
0,"North Branch, MN","North Branch, MN",NOBR,MSHSL,N,0.2731168942,
0,"Northfield, MN","Northfield , MN",NORT,MSHSL,Y,0.474481884,
0,"Norwood-Young America, MN","Norwood-Young America, MN",NYA,MSHSL,Y,0.893588714,
0,"Ogilvie, MN","Ogilvie, MN",OGIL,MSHSL,N,0.3930929429,
0,"Orono, MN","Orono, MN",ORON,MSHSL,Y,0.1739735428,
0,"Ortonville, MN","Ortonville, MN",ORTO,MSHSL,Y,0.5967926986,
0,"Osakis, MN","Osakis, MN",OSAK,MSHSL,Y,0.3940255956,
0,"Ottertail Central Bulldogs, MN","Ottertail Central Bulldogs, MN",OCB,MSHSL,N,0.7018971337,
0,"Owatonna, MN","Owatonna, MN",OWAT,MSHSL,N,0.02101438671,
0,"Park, MN","Park, MN",PARK,MSHSL,N,0.440141022,
0,"Park Center, MN","Park Center, MN",PACE,MSHSL,Y,0.03769158378,
0,"Park Rapids Area, MN","Park Rapids Area, MN",PRA,MSHSL,N,0.7413309232,
0,"Paynesville Area, MN","Paynesville Area, MN",PAAR,MSHSL,Y,0.1620775388,
0,"Pelican Rapids, MN","Pelican Rapids, MN",PERA,MSHSL,Y,0.7812079019,
0,"Pequot Lks-Pine River-B, MN","Pequot Lks-Pine River-B, MN",PLPR,MSHSL,Y,0.7706759682,
0,"Pierz, MN","Pierz, MN",PIER,MSHSL,Y,0.5181285608,
0,"Pine City-Hinckley-Finlayson, MN","Pine City-Hinckley-Finlayson, MN",PCHF,MSHSL,Y,0.5830015465,
0,"Pipestone Area, MN","Pipestone Area, MN",PIAR,MSHSL,Y,0.09983167563,
0,"Plainview-Elgin-Millville, MN","Plainview-Elgin-Millville, MN",PEM,MSHSL,Y,0.4110954113,
0,"Practice Team, MN","Practice Team, MN",PT,MSHSL,Y,0.2231742033,
0,"Prairie Seeds Academy, MN","Prairie Seeds Academy, MN",PSA,MSHSL,N,0.6856025778,
0,"Princeton, MN","Princeton, MN",PRIN,MSHSL,Y,0.5343320348,
0,"Prior Lake, MN","Prior Lake, MN",PRLA,MSHSL,Y,0.5819678436,
0,"Quad County, MN","Quad County, MN",QUCO,MSHSL,Y,0.5309693053,
0,"Red Lake County Central, MN","Red Lake County Central, MN",RLCC,MSHSL,N,0.7105069758,
0,"Redwood Valley, MN","Redwood-River Valley, MN",RWV,MSHSL,Y,0.09883026338,
0,"Richfield, MN","Richfield, MN",RICH,MSHSL,N,0.7300612165,
0,"Robbinsdale Armstrong, MN","Robbinsdale Armstrong, MN",RARM,MSHSL,Y,0.1116066087,
0,"Robbinsdale Cooper, MN","Robbinsdale Cooper, MN",COOP,MSHSL,Y,0.8968515502,
0,"Rochester Century, MN","Rochester Century, MN",RC,MSHSL,Y,0.68509984,
0,"Rochester John Marshall, MN","Rochester John Marshall, MN",RJM,MSHSL,Y,0.6852372898,
0,"Rochester Mayo, MN","Rochester Mayo, MN",ROMA,MSHSL,N,0.8550304603,
0,"Rockford, MN","Rockford, MN",ROCK,MSHSL,N,0.00856512194,
0,"Rocori, MN","Rocori, MN",ROCO,MSHSL,N,0.7560860984,
0,"Rogers, MN","Rogers, MN",ROGE,MSHSL,Y,0.2164578881,
0,"Roseau, MN","Roseau, MN",ROSE,MSHSL,Y,0.9649970463,
0,"Roseville Area, MN","Roseville Area, MN",ROAR,MSHSL,Y,0.1639026115,
0,"Royalton-Upsala, MN","Royalton-Upsala, MN",ROUP,MSHSL,Y,0.6284404919,
0,"Rush City-Braham, MN","Rush City-Braham, MN",RCB,MSHSL,N,0.2984949934,
0,"Saint Clair-Mankato Loyola, MN","Saint Clair-Mankato Loyola, MN",SCML,MSHSL,N,0.5802037025,
0,"Saint Cloud Tech, MN","Saint Cloud Tech, MN",SCT,MSHSL,Y,0.893925369,
0,"Saint James Area, MN","Saint James Area, MN",SJA,MSHSL,Y,0.3292339892,
0,"Sample, MN","Sample, MN",Samp,MSHSL,N,0.7840212867,
0,"Sartell-Saint Stephen, MN","Sartell-Saint Stephen, MN",SSS,MSHSL,Y,0.4182305172,
0,"Sauk Centre-Melrose, MN","Sauk Centre-Melrose, MN",SCM,MSHSL,Y,0.7304064619,
0,"Sauk Rapids-Rice, MN","Sauk Rapids-Rice, MN",SRR,MSHSL,Y,0.8781787394,
0,"Shakopee, MN","Shakopee, MN",SHAK,MSHSL,N,0.4332328562,
0,"Sibley East, MN","Sibley East, MN",SIEA,MSHSL,Y,0.2145157504,
0,"Simley, MN","Simley, MN",SIML,MSHSL,N,0.3545310341,
0,"South Saint Paul, MN","South Saint Paul, MN",SSP,MSHSL,Y,0.8598932672,
0,"Spectrum, MN","Spectrum, MN",SPEC,MSHSL,Y,0.8131522856,
0,"Spring Lake Park-St. Anthony Village, MN","Spring Lake Park, MN",SLPV,MSHSL,N,0.05499742108,
0,"St Paul Humboldt-Open World Learning, MN","St Paul Humboldt-Open World Learning, MN",SPHO,MSHSL,N,0.4931896986,
0,"St. Agnes, MN","St. Agnes, MN",STAG,MSHSL,Y,0.3966657076,
0,"St. Charles, MN","St. Charles, MN",STCH,MSHSL,N,0.5197920089,
0,"St. Cloud Apollo, MN","St. Cloud Apollo, MN",SCA,MSHSL,N,0.8015721047,
0,"St. Croix Lutheran, MN","St. Croix Lutheran, MN",SCL,MSHSL,N,0.09005060842,
0,"St. Francis, MN","St. Francis, MN",STFR,MSHSL,N,0.551276437,
0,"St. Michael-Albertville, MN","St. Michael-Albertville, MN",STMA,MSHSL,Y,0.2363890494,
0,"St. Paul Central, MN","St. Paul Central, MN",SPC,MSHSL,N,0.1738229854,
0,"St. Paul Highland Park, MN","St. Paul Highland Park, MN",SPHP,MSHSL,N,0.2593391081,
0,"St. Paul Johnson, MN","St. Paul Johnson, MN",SPJ,MSHSL,Y,0.5109468516,
0,"St. Paul Washington Technology Magnet, MN","St. Paul Washington Technology Magnet, MN",SPWT,MSHSL,N,0.5575471151,
0,"St. Peter, MN","St. Peter, MN",STPE,MSHSL,Y,0.4411688873,
0,"St. Thomas Academy, MN","St. Thomas Academy, MN",STA,MSHSL,Y,0.2252682948,
0,"Staples Motley, MN","Staples Motley, MN",STMO,MSHSL,Y,0.7655802498,
0,"Stewartville, MN","Stewartville, MN",STEW,MSHSL,N,0.3303392587,
0,"Test, MN","Test, MN",TEST,MSHSL,N,0.38502781,
0,"Thief River Falls, MN","Thief River Falls, MN",TRF,MSHSL,Y,0.09048667156,
0,"Totino-Grace, MN","Totino-Grace, MN",TOGR,MSHSL,Y,0.693628896,
0,"Tracy-Milroy-Balaton-Westbrook-Walnut-Grove, MN","Tracy-Milroy-Balaton-Westbrook-Walnut-Grove, MN",TMBW,MSHSL,N,0.5180220918,
0,"Tri-City United, MN","Tri-City United, MN",TCU,MSHSL,Y,0.5533217314,
0,"Triton, MN","Triton, MN",TRIT,MSHSL,N,0.07567228504,
0,"United Clay Becker Badgers, MN","United Clay Becker Badgers, MN",UCBB,MSHSL,Y,0.6209326032,
0,"United North Central Warriors, MN","United North Central Warriors, MN",UNCW,MSHSL,Y,0.08817420807,
0,"United South Central, MN","United South Central, MN",USC,MSHSL,Y,0.3054049147,
0,"Virginia Area, MN","Virginia Area, MN",VIAR,MSHSL,Y,0.5338956032,
0,"Wabasha-Kellogg, MN","Wabasha-Kellogg, MN",WAKE,MSHSL,N,0.6869506803,
0,"Wabasso - Red Rock Central, MN","Wabasso - Red Rock Central, MN",WRRC,MSHSL,N,0.02337084558,
0,"Waconia, MN","Waconia, MN",WACO,MSHSL,Y,0.7062771821,
0,"Wadena-Deer Creek, MN","Wadena-Deer Creek, MN",WDC,MSHSL,Y,0.3558716677,
0,"Walker-Hack-Akeley-Nevis, MN","Walker-Hack-Akeley-Nevis, MN",WHAN,MSHSL,N,0.8385685326,
0,"Waseca, MN","Waseca, MN",WASE,MSHSL,N,0.3143797843,
0,"Watertown Mayer- Mayer Luth., MN","Watertown Mayer- Mayer Luth., MN",WMML,MSHSL,Y,0.8885049817,
0,"Wayzata, MN","Wayzata, MN",WAYZ,MSHSL,Y,0.6947748208,
0,"WEM-JWP, MN","Wem-jwp, MN",WEJW,MSHSL,Y,0.563374058,
0,"West Central Area-Ashby-Brandon-Evansville, MN","West Central Area-Ashby-Brandon-Evansville, MN",WCAA,MSHSL,Y,0.2934277643,
0,"Westfield Razorbacks, MN","Westfield Razorbacks, MN",WERA,MSHSL,Y,0.2906147763,
0,"White Bear Lake Area, MN","White Bear Lake Area, MN",WBLA,MSHSL,Y,0.1526502293,
0,"Willmar, MN","Willmar, MN",WILL,MSHSL,Y,0.8144686894,
0,"Windom-Mountain Lake, MN","Windom-Mountain Lake, MN",WML,MSHSL,Y,0.4700206638,
0,"Winona-Winona Cotter, MN","Winona-Winona Cotter, MN",WWC,MSHSL,Y,0.1186534108,
0,"Woodbury, MN","Woodbury, MN",WOOD,MSHSL,N,0.2008425792,
0,"Worthington, MN","Worthington, MN",WORT,MSHSL,N,0.1400377309,
0,"Zimmerman, MN","Zimmerman, MN",ZIMM,MSHSL,Y,0.02386338561,
0,"Zumbrota-Mazeppa, MN","Zumbrota-Mazeppa, MN",ZUMA,MSHSL,Y,0.6647237873,
